"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"32",11625,"BANKW","DE","RT","Cover","C","TEMP_NAMC",172,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"35",11625,"BANKW","E","LF","Cover","C","TEMP_NAMC",175,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"39",11625,"BANKW","B","LF","Cover","C","TEMP_NAMC",139,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"42",11625,"BANKW","B","RT","Cover","C","TEMP_NAMC",142,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"45",11625,"BANKW","BC","LF","Cover","C","TEMP_NAMC",145,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"48",11625,"BANKW","BC","RT","Cover","C","TEMP_NAMC",148,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"53",11625,"BANKW","FG","LF","Cover","C","TEMP_NAMC",193,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"56",11625,"BANKW","FG","RT","Cover","C","TEMP_NAMC",196,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"59",11625,"BANKW","G","LF","Cover","C","TEMP_NAMC",199,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"62",11625,"BANKW","G","RT","Cover","C","TEMP_NAMC",202,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"65",11625,"BANKW","GH","LF","Cover","C","TEMP_NAMC",205,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"68",11625,"BANKW","GH","RT","Cover","C","TEMP_NAMC",208,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"71",11625,"BANKW","H","LF","Cover","C","TEMP_NAMC",211,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"74",11625,"BANKW","H","RT","Cover","C","TEMP_NAMC",214,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"78",11625,"BANKW","E","RT","Cover","C","TEMP_NAMC",178,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"81",11625,"BANKW","EF","LF","Cover","C","TEMP_NAMC",181,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"84",11625,"BANKW","EF","RT","Cover","C","TEMP_NAMC",184,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"87",11625,"BANKW","F","LF","Cover","C","TEMP_NAMC",187,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"90",11625,"BANKW","F","RT","Cover","C","TEMP_NAMC",190,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"92",11625,"BANKW","IJ","RT","Cover","C","TEMP_NAMC",232,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"95",11625,"BANKW","J","LF","Cover","C","TEMP_NAMC",235,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"98",11625,"BANKW","J","RT","Cover","C","TEMP_NAMC",238,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"101",11625,"BANKW","JK","LF","Cover","C","TEMP_NAMC",241,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"104",11625,"BANKW","JK","RT","Cover","C","TEMP_NAMC",244,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"107",11625,"BANKW","K","LF","Cover","C","TEMP_NAMC",247,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"110",11625,"BANKW","K","RT","Cover","C","TEMP_NAMC",250,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"198",11625,"BANKW","HI","LF","Cover","C","TEMP_NAMC",217,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"201",11625,"BANKW","HI","RT","Cover","C","TEMP_NAMC",220,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"204",11625,"BANKW","I","LF","Cover","C","TEMP_NAMC",223,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"207",11625,"BANKW","I","RT","Cover","C","TEMP_NAMC",226,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"210",11625,"BANKW","IJ","LF","Cover","C","TEMP_NAMC",229,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"1745",11626,"BANKW","BC","RT","Cover","C","TEMP_NAMC",400,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"1748",11626,"BANKW","AB","RT","Cover","C","TEMP_NAMC",388,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"1755",11626,"BANKW","CD","LF","Cover","C","TEMP_NAMC",409,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"1867",11626,"BANKW","A","RT","Cover","C","TEMP_NAMC",382,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"1927",11626,"BANKW","C","LF","Cover","C","TEMP_NAMC",403,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"1992",11626,"BANKW","AB","LF","Cover","C","TEMP_NAMC",385,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2004",11626,"BANKW","BC","LF","Cover","C","TEMP_NAMC",397,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2363",11626,"BANKW","B","LF","Cover","C","TEMP_NAMC",391,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2378",11626,"BANKW","C","RT","Cover","C","TEMP_NAMC",406,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2428",11626,"BANKW","G","RT","Cover","C","TEMP_NAMC",454,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2449",11626,"BANKW","I","LF","Cover","C","TEMP_NAMC",475,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2762",11626,"BANKW","DE","RT","Cover","C","TEMP_NAMC",424,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2771",11626,"BANKW","EF","LF","Cover","C","TEMP_NAMC",433,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2774",11626,"BANKW","EF","RT","Cover","C","TEMP_NAMC",436,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2795",11626,"BANKW","GH","LF","Cover","C","TEMP_NAMC",457,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2798",11626,"BANKW","GH","RT","Cover","C","TEMP_NAMC",460,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2804",11626,"BANKW","H","RT","Cover","C","TEMP_NAMC",466,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2807",11626,"BANKW","HI","LF","Cover","C","TEMP_NAMC",469,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2816",11626,"BANKW","I","RT","Cover","C","TEMP_NAMC",478,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2819",11626,"BANKW","IJ","LF","Cover","C","TEMP_NAMC",481,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2825",11626,"BANKW","J","LF","Cover","C","TEMP_NAMC",487,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2828",11626,"BANKW","J","RT","Cover","C","TEMP_NAMC",490,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2831",11626,"BANKW","JK","LF","Cover","C","TEMP_NAMC",493,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"2962",11626,"BANKW","A","LF","Cover","C","TEMP_NAMC",379,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3020",11626,"BANKW","F","LF","Cover","C","TEMP_NAMC",439,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3029",11626,"BANKW","FG","RT","Cover","C","TEMP_NAMC",448,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3066",11626,"BANKW","IJ","RT","Cover","C","TEMP_NAMC",484,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3083",11626,"BANKW","K","RT","Cover","C","TEMP_NAMC",502,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3096",11626,"BANKW","B","RT","Cover","C","TEMP_NAMC",394,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3120",11626,"BANKW","D","RT","Cover","C","TEMP_NAMC",418,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3149",11626,"BANKW","F","RT","Cover","C","TEMP_NAMC",442,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3200",11626,"BANKW","JK","RT","Cover","C","TEMP_NAMC",496,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3201",11626,"BANKW","K","LF","Cover","C","TEMP_NAMC",499,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3348",11626,"BANKW","D","LF","Cover","C","TEMP_NAMC",415,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3351",11626,"BANKW","FG","LF","Cover","C","TEMP_NAMC",445,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3356",11626,"BANKW","H","LF","Cover","C","TEMP_NAMC",463,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3357",11626,"BANKW","G","LF","Cover","C","TEMP_NAMC",451,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3405",11626,"BANKW","E","RT","Cover","C","TEMP_NAMC",430,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3407",11626,"BANKW","HI","RT","Cover","C","TEMP_NAMC",472,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3436",11626,"BANKW","E","LF","Cover","C","TEMP_NAMC",427,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3453",11626,"BANKW","CD","RT","Cover","C","TEMP_NAMC",412,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3468",11626,"BANKW","DE","LF","Cover","C","TEMP_NAMC",421,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8007","LS","C",NA,"C"
"3555",11627,"BANKW","J","RT","Cover","C","TEMP_NAMC",869,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3589",11627,"BANKW","F","RT","Cover","C","TEMP_NAMC",821,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3604",11627,"BANKW","GH","LF","Cover","C","TEMP_NAMC",836,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3621",11627,"BANKW","FG","RT","Cover","C","TEMP_NAMC",827,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3688",11627,"BANKW","DE","LF","Cover","C","TEMP_NAMC",800,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3694",11627,"BANKW","AB","LF","Cover","C","TEMP_NAMC",764,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3720",11627,"BANKW","G","LF","Cover","C","TEMP_NAMC",830,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3729",11627,"BANKW","A","RT","Cover","C","TEMP_NAMC",761,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3804",11627,"BANKW","D","LF","Cover","C","TEMP_NAMC",794,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3854",11627,"BANKW","DE","RT","Cover","C","TEMP_NAMC",803,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3861",11627,"BANKW","HI","RT","Cover","C","TEMP_NAMC",851,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3868",11627,"BANKW","I","RT","Cover","C","TEMP_NAMC",857,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3883",11627,"BANKW","JK","LF","Cover","C","TEMP_NAMC",872,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3895",11627,"BANKW","H","RT","Cover","C","TEMP_NAMC",845,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"3971",11627,"BANKW","GH","RT","Cover","C","TEMP_NAMC",839,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4034",11627,"BANKW","BC","RT","Cover","C","TEMP_NAMC",779,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4040",11627,"BANKW","C","RT","Cover","C","TEMP_NAMC",785,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4042",11627,"BANKW","CD","LF","Cover","C","TEMP_NAMC",788,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4079",11627,"BANKW","FG","LF","Cover","C","TEMP_NAMC",824,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4087",11627,"BANKW","G","RT","Cover","C","TEMP_NAMC",833,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4121",11627,"BANKW","J","LF","Cover","C","TEMP_NAMC",866,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4129",11627,"BANKW","JK","RT","Cover","C","TEMP_NAMC",875,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4136",11627,"BANKW","K","RT","Cover","C","TEMP_NAMC",881,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4194",11627,"BANKW","F","LF","Cover","C","TEMP_NAMC",818,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4392",11627,"BANKW","B","RT","Cover","C","TEMP_NAMC",773,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4395",11627,"BANKW","BC","LF","Cover","C","TEMP_NAMC",776,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4403",11627,"BANKW","C","LF","Cover","C","TEMP_NAMC",782,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4410",11627,"BANKW","CD","RT","Cover","C","TEMP_NAMC",791,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4420",11627,"BANKW","D","RT","Cover","C","TEMP_NAMC",797,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4425",11627,"BANKW","E","LF","Cover","C","TEMP_NAMC",806,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4431",11627,"BANKW","EF","LF","Cover","C","TEMP_NAMC",812,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4434",11627,"BANKW","EF","RT","Cover","C","TEMP_NAMC",815,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4473",11627,"BANKW","I","LF","Cover","C","TEMP_NAMC",854,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4479",11627,"BANKW","IJ","LF","Cover","C","TEMP_NAMC",860,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4482",11627,"BANKW","IJ","RT","Cover","C","TEMP_NAMC",863,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4741",11627,"BANKW","A","LF","Cover","U","TEMP_NAMC",758,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","U",NA,"U"
"4752",11627,"BANKW","AB","RT","Cover","C","TEMP_NAMC",767,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4794",11627,"BANKW","E","RT","Cover","C","TEMP_NAMC",809,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4863",11627,"BANKW","K","LF","Cover","C","TEMP_NAMC",878,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"4882",11627,"BANKW","B","LF","Cover","C","TEMP_NAMC",770,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"5044",11627,"BANKW","H","LF","Cover","C","TEMP_NAMC",842,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"5150",11627,"BANKW","HI","LF","Cover","C","TEMP_NAMC",848,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8013","LS","C",NA,"C"
"5221",11628,"BANKW","H","RT","Cover","U","TEMP_NAMC",971,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5222",11628,"BANKW","EF","LF","Cover","U","TEMP_NAMC",938,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5227",11628,"BANKW","HI","RT","Cover","U","TEMP_NAMC",977,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5278",11628,"BANKW","K","RT","Cover","C","TEMP_NAMC",1001,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5285",11628,"BANKW","AB","LF","Cover","C","TEMP_NAMC",890,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5298",11628,"BANKW","DE","RT","Cover","C","TEMP_NAMC",929,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5362",11628,"BANKW","GH","RT","Cover","C","TEMP_NAMC",965,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5363",11628,"BANKW","B","RT","Cover","C","TEMP_NAMC",899,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5374",11628,"BANKW","E","RT","Cover","U","TEMP_NAMC",935,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5377",11628,"BANKW","DE","LF","Cover","U","TEMP_NAMC",926,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5429",11628,"BANKW","D","RT","Cover","U","TEMP_NAMC",923,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5438",11628,"BANKW","CD","RT","Cover","C","TEMP_NAMC",917,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5477",11628,"BANKW","G","LF","Cover","C","TEMP_NAMC",956,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5515",11628,"BANKW","JK","RT","Cover","C","TEMP_NAMC",995,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5539",11628,"BANKW","B","LF","Cover","C","TEMP_NAMC",896,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5589",11628,"BANKW","F","RT","Cover","C","TEMP_NAMC",947,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5594",11628,"BANKW","FG","RT","Cover","C","TEMP_NAMC",953,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5649",11628,"BANKW","A","LF","Cover","C","TEMP_NAMC",884,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5652",11628,"BANKW","A","RT","Cover","C","TEMP_NAMC",887,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5667",11628,"BANKW","BC","LF","Cover","U","TEMP_NAMC",902,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5671",11628,"BANKW","IJ","RT","Cover","C","TEMP_NAMC",989,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"5738",11628,"BANKW","HI","LF","Cover","U","TEMP_NAMC",974,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5749",11628,"BANKW","IJ","LF","Cover","U","TEMP_NAMC",986,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5818",11628,"BANKW","E","LF","Cover","U","TEMP_NAMC",932,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5837",11628,"BANKW","FG","LF","Cover","U","TEMP_NAMC",950,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"5999",11628,"BANKW","JK","LF","Cover","C","TEMP_NAMC",992,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"6037",11628,"BANKW","C","LF","Cover","U","TEMP_NAMC",908,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"6041",11628,"BANKW","CD","LF","Cover","U","TEMP_NAMC",914,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"6074",11628,"BANKW","F","LF","Cover","U","TEMP_NAMC",944,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"6088",11628,"BANKW","G","RT","Cover","C","TEMP_NAMC",959,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"6099",11628,"BANKW","H","LF","Cover","C","TEMP_NAMC",968,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"6127",11628,"BANKW","K","LF","Cover","U","TEMP_NAMC",998,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"6146",11628,"BANKW","AB","RT","Cover","C","TEMP_NAMC",893,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"6405",11628,"BANKW","C","RT","Cover","C","TEMP_NAMC",911,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"6436",11628,"BANKW","EF","RT","Cover","U","TEMP_NAMC",941,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"6458",11628,"BANKW","GH","LF","Cover","C","TEMP_NAMC",962,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"6660",11628,"BANKW","D","LF","Cover","U","TEMP_NAMC",920,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","U",NA,"U"
"6799",11628,"BANKW","I","LF","Cover","C","TEMP_NAMC",980,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
"6885",11628,"BANKW","BC","RT","Cover","C","TEMP_NAMC",905,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8014","LS","C",NA,"C"
