"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"2088",11626,"THALW","A","5","WETWIDTH","9.8",NA,262278,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","9.8",9.8,9.8
"2153",11626,"THALW","C","5","WETWIDTH","9",NA,262343,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","9",9,9
"2183",11626,"THALW","D","0","WETWIDTH","6.5",NA,262373,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","6.5",6.5,6.5
"2309",11626,"THALW","H","0","WETWIDTH","2.9",NA,262499,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","2.9",2.9,2.9
"2364",11626,"THALW","J","0","WETWIDTH","9.6","F_1",262554,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","9.6",9.6,9.6
"2584",11626,"THALW","E","5","WETWIDTH","7.2",NA,262409,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","7.2",7.2,7.2
"2701",11626,"THALW","I","0","WETWIDTH","2.7",NA,262526,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","2.7",2.7,2.7
"2702",11626,"THALW","I","5","WETWIDTH","4.3",NA,262527,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","4.3",4.3,4.3
"2881",11626,"THALW","C","0","WETWIDTH","9.5",NA,262342,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","9.5",9.5,9.5
"2913",11626,"THALW","D","5","WETWIDTH","3.8",NA,262374,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","3.8",3.8,3.8
"3039",11626,"THALW","H","5","WETWIDTH","4.6",NA,262500,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","4.6",4.6,4.6
"3313",11626,"THALW","E","0","WETWIDTH","4.4",NA,262408,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","4.4",4.4,4.4
"3612",11627,"THALW","A","5","WETWIDTH","1.8",NA,265361,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","1.8",1.8,1.8
"3837",11627,"THALW","C","5","WETWIDTH","25",NA,265423,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","25",25,25
"3990",11627,"THALW","D","0","WETWIDTH","5.5","F_1",265333,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","5.5",5.5,5.5
"4008",11627,"THALW","F","5","WETWIDTH","2.5",NA,265472,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","2.5",2.5,2.5
"4139",11627,"THALW","A","0","WETWIDTH","2.4",NA,265360,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","2.4",2.4,2.4
"4227",11627,"THALW","E","5","WETWIDTH","2.5",NA,265448,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","2.5",2.5,2.5
"4250",11627,"THALW","F","0","WETWIDTH","3.9",NA,265471,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","3.9",3.9,3.9
"4310",11627,"THALW","H","5","WETWIDTH","2.5",NA,265531,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","2.5",2.5,2.5
"4355",11627,"THALW","D","5","WETWIDTH","3.1",NA,265334,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","3.1",3.1,3.1
"4358",11627,"THALW","J","5","WETWIDTH","5.5",NA,265579,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","5.5",5.5,5.5
"4565",11627,"THALW","C","0","WETWIDTH","6.2",NA,265422,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","6.2",6.2,6.2
"4650",11627,"THALW","G","5","WETWIDTH","2.7",NA,265507,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","2.7",2.7,2.7
"4697",11627,"THALW","I","0","WETWIDTH","4.4",NA,265554,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","4.4",4.4,4.4
"4903",11627,"THALW","B","0","WETWIDTH","1.95",NA,265395,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","1.95",1.95,1.95
"4911",11627,"THALW","B","5","WETWIDTH","4.6",NA,265396,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","4.6",4.6,4.6
"4954",11627,"THALW","E","0","WETWIDTH","3.1",NA,265447,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","3.1",3.1,3.1
"5007",11627,"THALW","J","0","WETWIDTH","2.5",NA,265578,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","2.5",2.5,2.5
"5015",11627,"THALW","G","0","WETWIDTH","4.1",NA,265506,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","4.1",4.1,4.1
"5038",11627,"THALW","H","0","WETWIDTH","5.9",NA,265530,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","5.9",5.9,5.9
"5203",11627,"THALW","I","5","WETWIDTH","3.9",NA,265555,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","3.9",3.9,3.9
"5458",11628,"THALW","D","5","WETWIDTH","2.8",NA,264782,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","2.8",2.8,2.8
"5704",11628,"THALW","A","0","WETWIDTH","7.3",NA,264677,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","7.3",7.3,7.3
"5808",11628,"THALW","D","0","WETWIDTH","5.05",NA,264781,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","5.05",5.05,5.05
"5910",11628,"THALW","G","0","WETWIDTH","2.3",NA,264882,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","2.3",2.3,2.3
"6000",11628,"THALW","F","0","WETWIDTH","1.9",NA,264848,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","1.9",1.9,1.9
"6120",11628,"THALW","F","5","WETWIDTH","2",NA,264849,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","2",2,2
"6206",11628,"THALW","E","0","WETWIDTH","6",NA,264814,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","6",6,6
"6207",11628,"THALW","E","5","WETWIDTH","2.8",NA,264815,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","2.8",2.8,2.8
"6212",11628,"THALW","I","0","WETWIDTH","3.5","F_1",264940,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","3.5",3.5,3.5
"6262",11628,"THALW","C","5","WETWIDTH","4.3",NA,264748,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","4.3",4.3,4.3
"6275",11628,"THALW","G","5","WETWIDTH","1.7",NA,264883,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","1.7",1.7,1.7
"6307",11628,"THALW","H","5","WETWIDTH","3.2",NA,264914,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","3.2",3.2,3.2
"6456",11628,"THALW","I","5","WETWIDTH","4.6",NA,264941,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","4.6",4.6,4.6
"6465",11628,"THALW","C","0","WETWIDTH","3.3",NA,264747,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","3.3",3.3,3.3
"6510",11628,"THALW","B","5","WETWIDTH","5.3",NA,264711,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","5.3",5.3,5.3
"6630",11628,"THALW","B","0","WETWIDTH","5.1",NA,264710,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","5.1",5.1,5.1
"6678",11628,"THALW","A","5","WETWIDTH","6",NA,264678,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","6",6,6
"6712",11628,"THALW","J","5","WETWIDTH","3.4",NA,264968,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","3.4",3.4,3.4
"6798",11628,"THALW","H","0","WETWIDTH","2.7",NA,264913,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8014","LS","2.7",2.7,2.7
"7056",11629,"THALW","E","5","WETWIDTH","3.3",NA,265137,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.3",3.3,3.3
"7073",11629,"THALW","J","5","WETWIDTH","3",NA,265302,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3",3,3
"7121",11629,"THALW","A","5","WETWIDTH","3.1",NA,264998,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.1",3.1,3.1
"7159",11629,"THALW","I","0","WETWIDTH","2.5",NA,265266,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.5",2.5,2.5
"7327",11629,"THALW","G","0","WETWIDTH","2.7",NA,265204,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.7",2.7,2.7
"7436",11629,"THALW","C","0","WETWIDTH","4.4",NA,265069,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","4.4",4.4,4.4
"7670",11629,"THALW","J","0","WETWIDTH","2.9",NA,265301,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.9",2.9,2.9
"7801",11629,"THALW","C","5","WETWIDTH","3.7",NA,265070,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.7",3.7,3.7
"7833",11629,"THALW","D","0","WETWIDTH","2.8",NA,265102,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.8",2.8,2.8
"7868",11629,"THALW","E","0","WETWIDTH","3.4",NA,265136,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.4",3.4,3.4
"7966",11629,"THALW","H","5","WETWIDTH","2.55",NA,265235,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.55",2.55,2.55
"8125",11629,"THALW","B","5","WETWIDTH","2.25",NA,265029,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.25",2.25,2.25
"8200",11629,"THALW","D","5","WETWIDTH","3.2",NA,265103,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.2",3.2,3.2
"8266",11629,"THALW","F","0","WETWIDTH","2.9",NA,265171,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.9",2.9,2.9
"8267",11629,"THALW","F","5","WETWIDTH","2.95",NA,265172,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.95",2.95,2.95
"8307",11629,"THALW","G","5","WETWIDTH","3.7",NA,265205,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.7",3.7,3.7
"8331",11629,"THALW","H","0","WETWIDTH","2.4",NA,265234,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.4",2.4,2.4
"8369",11629,"THALW","I","5","WETWIDTH","3.3",NA,265267,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.3",3.3,3.3
"8459",11629,"THALW","A","0","WETWIDTH","3.5",NA,264997,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","3.5",3.5,3.5
"8575",11629,"THALW","B","0","WETWIDTH","2.45",NA,265028,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8018","LS","2.45",2.45,2.45
"8860",11630,"THALW","G","5","WETWIDTH","8.5",NA,277316,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","8.5",8.5,8.5
"9112",11630,"THALW","D","5","WETWIDTH","5.8",NA,277222,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","5.8",5.8,5.8
"9125",11630,"THALW","C","0","WETWIDTH","6",NA,277189,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","6",6,6
"9188",11630,"THALW","E","5","WETWIDTH","8",NA,277253,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","8",8,8
"9251",11630,"THALW","G","0","WETWIDTH","12.9",NA,277315,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","12.9",12.9,12.9
"9310",11630,"THALW","I","5","WETWIDTH","6.6",NA,277375,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","6.6",6.6,6.6
"9459",11630,"THALW","J","5","WETWIDTH","6.5",NA,277402,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","6.5",6.5,6.5
"9553",11630,"THALW","E","0","WETWIDTH","8",NA,277252,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","8",8,8
"9586",11630,"THALW","F","5","WETWIDTH","4.4",NA,277285,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","4.4",4.4,4.4
"9646",11630,"THALW","H","5","WETWIDTH","7",NA,277346,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","7",7,7
"9855",11630,"THALW","C","5","WETWIDTH","9.2",NA,277190,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","9.2",9.2,9.2
"10011",11630,"THALW","H","0","WETWIDTH","6.7",NA,277345,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","6.7",6.7,6.7
"10042",11630,"THALW","I","0","WETWIDTH","10.9",NA,277374,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","10.9",10.9,10.9
"10067",11630,"THALW","B","5","WETWIDTH","9",NA,277157,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","9",9,9
"10129",11630,"THALW","D","0","WETWIDTH","8.8",NA,277221,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","8.8",8.8,8.8
"10190",11630,"THALW","J","0","WETWIDTH","4.8",NA,277401,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","4.8",4.8,4.8
"10201",11630,"THALW","A","5","WETWIDTH","5.5",NA,277126,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","5.5",5.5,5.5
"10277",11630,"THALW","F","0","WETWIDTH","9.2",NA,277284,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","9.2",9.2,9.2
"10311",11630,"THALW","B","0","WETWIDTH","5.8",NA,277156,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","5.8",5.8,5.8
"10403",11630,"THALW","A","0","WETWIDTH","11.7",NA,277125,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8026","LS","11.7",11.7,11.7
"10666",11675,"THALW","E","5","WETWIDTH","7.5",NA,278588,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","7.5",7.5,7.5
"10733",11675,"THALW","J","5","WETWIDTH","6.7",NA,278738,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","6.7",6.7,6.7
"10853",11675,"THALW","J","0","WETWIDTH","7",NA,278737,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","7",7,7
"11123",11675,"THALW","H","5","WETWIDTH","6.3",NA,278683,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","6.3",6.3,6.3
"11148",11675,"THALW","I","0","WETWIDTH","4.4",NA,278707,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","4.4",4.4,4.4
"11150",11675,"THALW","I","5","WETWIDTH","7",NA,278708,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","7",7,7
"11302",11675,"THALW","B","5","WETWIDTH","7.3",NA,278494,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","7.3",7.3,7.3
"11366",11675,"THALW","D","5","WETWIDTH","8",NA,278559,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","8",8,8
"11428",11675,"THALW","F","0","WETWIDTH","4.4","F_1",278620,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","4.4",4.4,4.4
"11489",11675,"THALW","H","0","WETWIDTH","6.3",NA,278682,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","6.3",6.3,6.3
"11708",11675,"THALW","G","0","WETWIDTH","7.7","F_1",278657,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","7.7",7.7,7.7
"11732",11675,"THALW","D","0","WETWIDTH","10.7",NA,278558,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","10.7",10.7,10.7
"11760",11675,"THALW","E","0","WETWIDTH","3.9",NA,278587,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","3.9",3.9,3.9
"11799",11675,"THALW","F","5","WETWIDTH","9.3",NA,278621,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","9.3",9.3,9.3
"11951",11675,"THALW","C","5","WETWIDTH","5.1",NA,278533,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","5.1",5.1,5.1
"12030",11675,"THALW","B","0","WETWIDTH","11.4","F_1",278493,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","11.4",11.4,11.4
"12197",11675,"THALW","G","5","WETWIDTH","10.6",NA,278658,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","10.6",10.6,10.6
"12311",11675,"THALW","C","0","WETWIDTH","5.4",NA,278532,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","5.4",5.4,5.4
"12313",11675,"THALW","A","0","WETWIDTH","2",NA,278451,TRUE,"O",2013-10-18,9999-12-31,NA,"AR-LS-8038","LS","2",2,2
"12695",11676,"THALW","H","5","WETWIDTH","2",NA,266446,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","2",2,2
"12802",11676,"THALW","I","0","WETWIDTH","1.4",NA,266474,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1.4",1.4,1.4
"12901",11676,"THALW","H","0","WETWIDTH","1.8",NA,266445,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1.8",1.8,1.8
"12926",11676,"THALW","D","0","WETWIDTH","1.9",NA,266313,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1.9",1.9,1.9
"13003",11676,"THALW","E","5","WETWIDTH","3.1",NA,266346,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","3.1",3.1,3.1
"13042",11676,"THALW","A","0","WETWIDTH","2.3",NA,266222,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","2.3",2.3,2.3
"13076",11676,"THALW","B","0","WETWIDTH","1.5","F_1",266256,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1.5",1.5,1.5
"13164",11676,"THALW","E","0","WETWIDTH","2.3","F_1",266345,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","2.3",2.3,2.3
"13199",11676,"THALW","F","5","WETWIDTH","1",NA,266377,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1",1,1
"13315",11676,"THALW","F","0","WETWIDTH","4",NA,266376,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","4",4,4
"13323",11676,"THALW","J","0","WETWIDTH","5.6",NA,266502,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","5.6",5.6,5.6
"13408",11676,"THALW","A","5","WETWIDTH","1.4",NA,266223,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1.4",1.4,1.4
"13663",11676,"THALW","I","5","WETWIDTH","3.5",NA,266475,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","3.5",3.5,3.5
"13808",11676,"THALW","B","5","WETWIDTH","0.7",NA,266257,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","0.7",0.7,0.7
"13987",11676,"THALW","D","5","WETWIDTH","1.4",NA,266314,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1.4",1.4,1.4
"14039",11676,"THALW","C","0","WETWIDTH","2.1",NA,266282,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","2.1",2.1,2.1
"14087",11676,"THALW","G","0","WETWIDTH","0.6",NA,266413,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","0.6",0.6,0.6
"14091",11676,"THALW","G","5","WETWIDTH","1.5",NA,266414,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","1.5",1.5,1.5
"14344",11676,"THALW","J","5","WETWIDTH","5.15",NA,266503,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8036","LS","5.15",5.15,5.15
"14505",11677,"THALW","D","0","WETWIDTH","3.4",NA,272791,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","3.4",3.4,3.4
"14536",11677,"THALW","F","0","WETWIDTH","2.8",NA,272864,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","2.8",2.8,2.8
"14701",11677,"THALW","E","7","WETWIDTH","2.4",NA,272826,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","2.4",2.4,2.4
"14702",11677,"THALW","E","0","WETWIDTH","2.6",NA,272825,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","2.6",2.6,2.6
"14794",11677,"THALW","D","7","WETWIDTH","4.4",NA,272792,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","4.4",4.4,4.4
"14863",11677,"THALW","I","7","WETWIDTH","1.8",NA,272985,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","1.8",1.8,1.8
"14945",11677,"THALW","H","0","WETWIDTH","2.1",NA,272945,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","2.1",2.1,2.1
"15019",11677,"THALW","A","0","WETWIDTH","2.5",NA,272654,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","2.5",2.5,2.5
"15064",11677,"THALW","H","7","WETWIDTH","2.4",NA,272946,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","2.4",2.4,2.4
"15110",11677,"THALW","C","7","WETWIDTH","3.3",NA,272747,TRUE,"O",2013-09-30,9999-12-31,NA,"AR-LS-8029","LS","3.3",3.3,3.3
